indicator,type,confidence,relevance,first_seen,expires_on,source,reasons
anthropic-careers.invalid,domain,moderate,0.85,2026-09-02,2026-12-01,certificate_transparency,"contains brand term: anthropic; brand used as a compound label, a common lure form; recruitment lure vocabulary: careers; registered or first observed within the collection window"
anthropic-recruiting.invalid,domain,low,0.85,2026-09-02,2026-10-17,certificate_transparency,"contains brand term: anthropic; brand used as a compound label, a common lure form; recruitment lure vocabulary: recruit, recruiting; registered or first observed within the collection window"
careers-anthropic.invalid,domain,low,0.85,2026-09-02,2026-10-17,certificate_transparency,"contains brand term: anthropic; brand used as a compound label, a common lure form; recruitment lure vocabulary: careers; registered or first observed within the collection window"
www.anthropic-careers.invalid,domain,low,0.85,2026-09-02,2026-10-17,certificate_transparency,"contains brand term: anthropic; brand used as a compound label, a common lure form; recruitment lure vocabulary: careers; registered or first observed within the collection window"
pypi:huggingfaec-hub,package,low,0.80,2026-09-03,2027-03-04,package_registry,typosquat of 'huggingface' at edit distance 1; developer supply chain surface: pypi; registered or first observed within the collection window
npm:anthropic-sdk-helper,package,low,0.75,2026-09-03,2027-03-04,package_registry,"contains brand term: anthropic; brand used as a compound label, a common lure form; developer supply chain surface: npm, sdk; registered or first observed within the collection window"
pypi:pytorch-lightning-utils,package,low,0.75,2026-09-04,2027-03-05,package_registry,"contains brand term: pytorch; brand used as a compound label, a common lure form; developer supply chain surface: pypi; registered or first observed within the collection window"
0penai-interview.invalid,domain,moderate,0.70,2026-09-02,2026-12-01,certificate_transparency,contains brand term: openai; recruitment lure vocabulary: interview; registered or first observed within the collection window
huggingfaec.invalid,domain,low,0.70,2026-09-02,2026-10-17,certificate_transparency,typosquat of 'huggingface' at edit distance 1; registered or first observed within the collection window
https://anthropic-careers.invalid/assessment/take-home.zip,url,moderate,0.70,2026-09-04,2026-10-04,malicious_url_feed,"contains brand term: anthropic; brand used as a compound label, a common lure form; recruitment lure vocabulary: careers"
https://0penai-interview.invalid/portal,url,moderate,0.55,2026-09-04,2026-10-04,malicious_url_feed,contains brand term: openai; recruitment lure vocabulary: interview
anthr0pic.invalid,domain,low,0.50,2026-09-02,2026-10-17,certificate_transparency,contains brand term: anthropic; registered or first observed within the collection window
pypi:safetensors-fast,package,low,0.50,2026-09-04,2027-03-05,package_registry,references protected assets: safetensors; developer supply chain surface: pypi; registered or first observed within the collection window
checkpoint-sync.invalid,domain,low,0.40,2026-09-02,2026-10-17,certificate_transparency,references protected assets: checkpoint; registered or first observed within the collection window
safetensors-mirror.invalid,domain,low,0.40,2026-09-02,2026-10-17,certificate_transparency,references protected assets: safetensors; registered or first observed within the collection window
